nhdhr_id,geometry,Depth_avg,area
nhdhr_91593573,-93.533803;44.8964700000001,4.7,73702.7154828347
nhdhr_45365491,-93.6853149999999;45.0652430000001,4.0,2271100.36050432
nhdhr_91597227,-93.320117;44.6930160000001,3.5,216396.952950004
nhdhr_91690129,-92.899551;45.079303,3.2,154621.05822736
nhdhr_91688957,-92.893275;45.1321100000001,1.7,138053.0
nhdhr_34130613,-92.9835889999999;44.9497180000001,3.5,296303.300696754
nhdhr_120018211,-93.6603229999999;45.0269190000001,4.5,3296818.03131807
nhdhr_120018097,-93.3102249999999;44.9531650000001,3.2,452276.655000057
nhdhr_139269431,-88.256458;43.3809220000001,7.5,3793055.83438694
nhdhr_120018090,-93.136948;44.9770380000001,3.4,271782.470509466
nhdhr_141288680,-89.658514;43.2884100000001,4.3,804343.148831904
nhdhr_120019336,-93.346121;45.3587450000001,2.3,1971891.81670079
nhdhr_120019354,-93.35603;48.618953,8.0,185225473.290487
nhdhr_69884058,-90.027211;46.206758,3.0,1534720.0
nhdhr_120018008,-93.0675639999999;45.1729790000001,2.8,2227609.5035145
nhdhr_34121878,-93.507998;45.1835290000001,3.0,880162.665601879
nhdhr_139269433,-88.231002;43.366155,5.4,1053193.60735612
nhdhr_70332223,-89.428153;45.9104170000001,3.5,233794.161010623
nhdhr_120020805,-95.106165;46.748277,3.3,460922.581227027
nhdhr_75653667,-88.764698;44.9300400000001,2.8,254675.887386909
nhdhr_120018036,-93.135488;45.105823,4.0,1821154.14948652
nhdhr_69885442,-90.2256819999999;46.0692940000001,4.9,2895200.0
nhdhr_80005045,-93.600805;46.980175,6.0,2726192.14595016
nhdhr_152518175,-85.38566;42.3520350000001,5.2,597458.193144374
nhdhr_45730354,-94.2746079999999;45.273218,4.7,621859.088722029
nhdhr_58125935,-95.379619;45.9049240000001,3.1,854918.402019203
nhdhr_109981506,-88.098527;42.573024,3.6,518111.17374441
nhdhr_120020206,-93.769931;44.853572,5.9,12445119.494068
nhdhr_34128205,-93.327286;45.029682,3.3,320438.597301006
nhdhr_91685677,-92.533846;45.274457,5.7,352365.211512208
nhdhr_120018129,-93.732292;44.888247,4.6,1043567.94935129
nhdhr_91596605,-93.4289669999999;44.7544500000001,3.3,203275.598228876
nhdhr_143249464,-88.48125;43.044131,3.2,396869.109883845
nhdhr_86274219,-95.8914129999999;46.8420540000001,2.0,1312254.69733397
nhdhr_121839184,-95.6437079999999;47.2434450000001,5.2,4567011.03486045
nhdhr_45730856,-94.264008;45.2522940000001,3.3,374980.03397637
nhdhr_121629875,-93.306256;43.6145890000001,1.9,10866750.0380973
nhdhr_120018014,-93.0675639999999;45.1729790000001,2.8,1917638.00952869
nhdhr_121623866,-88.303125;42.5407190000001,3.4,1827246.83023227
nhdhr_34131552,-93.303275;44.9164280000001,4.9,1380880.93912052
nhdhr_45730390,-94.111907;45.2770830000001,2.7,2311848.49383125
nhdhr_91597267,-93.4645829999999;44.7020830000001,4.3,2390888.03534833
nhdhr_120020343,-92.956935;45.289833,4.6,9190148.02732853
nhdhr_120018088,-93.4109989999999;44.9953780000001,4.6,3762590.91828911
nhdhr_126212479,-96.639471;45.767747,6.1,43902483.7958715
nhdhr_74926543,-91.478404;45.85049,5.1,3842409.2336616
nhdhr_91692247,-92.901042;44.9266900000001,3.3,228917.158720487
nhdhr_91689905,-92.8467699999999;45.082474,2.6,247489.282629162
nhdhr_69886650,-90.2256819999999;46.0692940000001,4.9,52418243.9361235
nhdhr_120020759,-95.102843;46.9607150000001,5.7,1730557.44825185
nhdhr_120020208,-93.4927079999999;44.8570020000001,2.6,461039.741221941
nhdhr_91691383,-92.927114;45.014709,4.2,623150.493582777
nhdhr_45337659,-93.61875;45.036013,3.0,331366.309034537
nhdhr_74926457,-91.393737;45.8776800000001,11.6,20798535.2906406
nhdhr_166867869,-94.112119;46.6701350000001,4.5,2957354.30897253
nhdhr_69886510,-89.617131;46.0013290000001,3.5,375204.894261882
nhdhr_120018072,-93.173958;45.046812,3.9,856192.844045084
nhdhr_120019732,-95.0982959999999;45.894279,4.8,25619619.4885638
nhdhr_75654673,-88.563811;44.794652,4.4,25173115.7428305
nhdhr_45338945,-94.0145469999999;44.9397090000001,2.2,242632.891440421
nhdhr_91597877,-93.463217;44.6549870000001,3.6,699900.777826287
nhdhr_34130988,-93.485506;44.952972,6.7,760200.243975238
nhdhr_120019854,-94.118775;45.326605,5.9,12781061.0509029
nhdhr_121623126,-88.35443;42.8158340000001,4.1,626016.892003685
nhdhr_34130604,-93.319372;44.960499,3.9,662845.458655553
nhdhr_141288146,-89.723311;43.3117350000001,7.5,29149474.4899382
nhdhr_120020235,-93.513945;44.7473830000001,2.6,1205735.05475119
nhdhr_81642813,-93.50517;45.334636,2.8,419466.043856269
nhdhr_70332231,-89.4521809999999;45.9022120000001,6.1,984835.930550575
nhdhr_120020800,-95.073002;46.7936960000001,4.4,2155125.54697613
nhdhr_83826087,-84.633045;46.4636410000001,4.5,329725.78223295
nhdhr_120019058,-92.6657709999999;48.4967330000001,23.4,34505362.0774685
nhdhr_121858926,-85.2815219999999;44.0267430000001,3.5,646127.521002576
nhdhr_120018182,-92.622917;44.6062640000001,2.8,659352.2341187
nhdhr_91594453,-93.5365869999999;44.8518920000001,3.7,357488.628294834
